BioSample	Environmental_Category
SAMEA6849364	Soil
SAMEA6849363	Soil
SAMEA6849362	Soil
SAMEA6849361	Soil
SAMEA6849360	Soil
SAMEA6849359	Soil
SAMEA6849358	Soil
SAMEA6849357	Soil
SAMEA6849356	Soil
SAMEA6849355	Soil
SAMEA6849354	Soil
SAMEA6849353	Soil
SAMEA6849352	Soil
SAMEA6849351	Soil
SAMEA6849350	Soil
SAMEA6849349	Soil
SAMEA6849348	Soil
SAMEA6849347	Soil
SAMEA6849346	Soil
SAMEA6849345	Soil
SAMEA6849344	Soil
SAMEA6849343	Soil
SAMEA6849342	Soil
SAMEA6849340	Soil
SAMEA6849339	Soil
SAMEA6849337	Soil
SAMEA6849336	Soil
SAMEA6849335	Soil
SAMEA6849334	Soil
SAMEA6849333	Soil
SAMEA6849331	Soil
SAMEA6849330	Soil
SAMEA6849329	Soil
SAMEA6849328	Soil
SAMEA6849326	Soil
SAMEA6849325	Soil
SAMEA6849324	Soil
SAMEA6849322	Soil
SAMEA6849321	Soil
SAMEA6849320	Soil
SAMEA6849318	Soil
SAMEA6849316	Soil
SAMEA6849315	Soil
SAMEA6849314	Soil
SAMEA6849312	Soil
SAMEA6849311	Soil
SAMEA6849310	Soil
SAMEA6849309	Soil
SAMEA6849308	Soil
SAMEA6849307	Soil
SAMEA6849306	Soil
SAMEA6849305	Soil
SAMEA6849304	Soil
SAMEA6849303	Soil
SAMEA6849302	Soil
SAMEA6849301	Soil
SAMEA6849300	Soil
SAMEA6849299	Soil
SAMEA6849298	Soil
SAMEA6849297	Soil
SAMEA6849296	Soil
SAMEA6849295	Soil
SAMEA6849293	Soil
SAMEA6849292	Soil
SAMEA6849291	Soil
SAMEA6849290	Soil
SAMEA6849288	Soil
SAMEA6849287	Soil
SAMEA6849286	Soil
SAMEA6849285	Soil
SAMEA6849283	Soil
SAMEA6849282	Soil
SAMEA6849281	Soil
SAMEA6849280	Soil
SAMEA6849277	Soil
SAMEA6849276	Soil
SAMEA6849275	Soil
SAMEA6849274	Soil
SAMEA6849273	Soil
SAMEA6849271	Soil
SAMEA6849269	Soil
SAMEA6849268	Soil
SAMEA6849267	Soil
SAMEA6849266	Soil
SAMEA6849264	Soil
SAMEA6849263	Soil
SAMEA6849262	Soil
SAMEA6849261	Soil
SAMEA6849259	Soil
SAMEA6849258	Soil
SAMEA6849257	Soil
SAMEA6849256	Soil
SAMEA6849255	Soil
SAMEA6849254	Soil
SAMEA6849253	Soil
SAMEA6849252	Soil
SAMEA6849251	Soil
SAMEA6849250	Soil
SAMEA6849249	Soil
SAMEA6849248	Soil
SAMEA6849247	Soil
SAMEA6849246	Soil
SAMEA6849245	Soil
SAMEA6849244	Soil
SAMEA6849243	Soil
SAMEA6849242	Soil
SAMEA6849241	Soil
SAMEA6849239	Soil
SAMEA6849238	Soil
SAMEA6849237	Soil
SAMEA6849236	Soil
SAMEA6849235	Soil
SAMEA6849232	Soil
SAMEA6849231	Soil
SAMEA6849230	Soil
SAMEA6849229	Soil
SAMEA6849227	Soil
SAMEA6849226	Soil
SAMEA6849225	Soil
SAMEA6849224	Soil
SAMEA6849223	Soil
SAMEA6849222	Soil
SAMEA6849220	Soil
SAMEA6849219	Soil
SAMEA6849218	Soil
SAMEA6849216	Soil
SAMEA6849215	Soil
SAMEA6849214	Soil
SAMEA6849213	Soil
SAMEA6849211	Soil
SAMEA6849210	Soil
SAMEA6849209	Soil
SAMEA6849208	Soil
SAMEA6849206	Soil
SAMEA6849205	Soil
SAMEA6849204	Soil
SAMEA6849203	Soil
SAMEA6849201	Soil
SAMEA6849200	Soil
SAMEA6849199	Soil
SAMEA6849198	Soil
SAMEA6849197	Soil
SAMEA6849196	Soil
SAMEA6849195	Soil
SAMEA6849194	Soil
SAMEA6849193	Soil
SAMEA6849192	Soil
SAMEA6849191	Soil
SAMEA6849190	Soil
SAMEA6849189	Soil
SAMEA6849188	Soil
SAMEA6849186	Soil
SAMEA6849185	Soil
SAMEA6849184	Soil
SAMEA6849183	Soil
SAMEA6849181	Soil
SAMEA6849179	Soil
SAMEA6849177	Soil
SAMEA6849174	Soil
SAMEA6849173	Soil
SAMEA6849172	Soil
SAMEA6849171	Soil
SAMEA6849170	Soil
SAMEA6849169	Soil
SAMEA6849168	Soil
SAMEA6849167	Soil
SAMEA6849165	Soil
SAMEA6849164	Soil
SAMEA6849163	Soil
SAMEA6849161	Soil
SAMEA6849160	Soil
SAMEA6849159	Soil
SAMEA6849157	Soil
SAMEA6849156	Soil
SAMEA6849155	Soil
SAMEA6849154	Soil
SAMEA6849152	Soil
SAMEA6849151	Soil
SAMEA6849150	Soil
SAMEA6849149	Soil
SAMEA6849147	Soil
SAMEA6849146	Soil
SAMEA6849145	Soil
SAMEA6849144	Soil
SAMEA6849142	Soil
SAMEA6849141	Soil
SAMEA6849140	Soil
SAMEA6849139	Soil
SAMEA6849137	Soil
SAMEA6849136	Soil
SAMEA6849135	Soil
SAMEA6849134	Soil
SAMEA6849132	Soil
SAMEA6849131	Soil
SAMEA6849130	Soil
SAMEA6849128	Soil
SAMEA6849126	Soil
SAMEA6849125	Soil
SAMEA6849124	Soil
SAMEA6849123	Soil
SAMEA6849122	Soil
SAMEA6849121	Soil
SAMEA6849120	Soil
SAMEA6849118	Soil
SAMEA6849117	Soil
SAMEA6849116	Soil
SAMEA6849115	Soil
SAMEA6849114	Soil
SAMEA6849113	Soil
SAMEA6849112	Soil
SAMEA6849111	Soil
SAMEA6849110	Soil
SAMEA6849109	Soil
SAMEA6849108	Soil
SAMEA6849107	Soil
SAMEA6849106	Soil
SAMEA6849105	Soil
SAMEA6849104	Soil
SAMEA6849103	Soil
SAMEA6849102	Soil
SAMEA6849100	Soil
SAMEA6849099	Soil
SAMEA6849098	Soil
SAMEA6849097	Soil
SAMEA6849095	Soil
SAMEA6849094	Soil
SAMEA6849093	Soil
SAMEA6849091	Soil
SAMEA6849090	Soil
SAMEA6849089	Soil
SAMEA6849088	Soil
SAMEA6849086	Soil
SAMEA6849085	Soil
SAMEA6849084	Soil
SAMEA6849082	Soil
SAMEA6849081	Soil
SAMEA6849080	Soil
SAMEA6849079	Soil
SAMEA6849077	Soil
SAMEA6849076	Soil
SAMEA6849075	Soil
SAMEA6849074	Soil
SAMEA6849073	Soil
SAMEA6849072	Soil
SAMEA6849070	Soil
SAMEA6849069	Soil
SAMEA6849068	Soil
SAMEA6849066	Soil
SAMEA6849065	Soil
SAMEA6849064	Soil
SAMEA6849063	Soil
SAMEA6849062	Soil
SAMEA6849060	Soil
SAMEA6849058	Soil
SAMEA6849057	Soil
SAMEA6849056	Soil
SAMEA6849055	Soil
SAMEA6849054	Soil
SAMEA6849053	Soil
SAMEA6849052	Soil
SAMEA6849051	Soil
SAMEA6849049	Soil
SAMEA6849048	Soil
SAMEA6849047	Soil
SAMEA6849046	Soil
SAMEA6849045	Soil
SAMEA6849044	Soil
SAMEA6849043	Soil
SAMEA6849042	Soil
SAMEA6849041	Soil
SAMEA6849040	Soil
SAMEA6849039	Soil
SAMEA6849038	Soil
SAMEA6849037	Soil
SAMEA6849036	Soil
SAMEA6849035	Soil
SAMEA6849034	Soil
SAMEA6849033	Soil
SAMEA6849032	Soil
SAMEA6849031	Soil
SAMEA6849029	Soil
SAMEA6849028	Soil
SAMEA6849027	Soil
SAMEA6849026	Soil
SAMEA6849025	Soil
SAMEA6849023	Soil
SAMEA6849022	Soil
SAMEA6849021	Soil
SAMEA6849020	Soil
SAMEA6849018	Soil
SAMEA6849017	Soil
SAMEA6849016	Soil
SAMEA6849015	Soil
SAMEA6849013	Soil
SAMEA6849012	Soil
SAMEA6849011	Soil
SAMEA6849010	Soil
SAMEA6849009	Soil
SAMEA6849007	Soil
SAMEA6849006	Soil
SAMEA6849005	Soil
SAMEA6849004	Soil
SAMEA6849003	Soil
SAMEA6849001	Soil
SAMEA6849000	Soil
SAMEA6848999	Soil
SAMEA6848998	Soil
SAMEA6848996	Soil
SAMEA6848995	Soil
SAMEA6848993	Soil
SAMEA6848992	Soil
SAMEA6848991	Soil
SAMEA6848990	Soil
SAMEA6848989	Soil
SAMEA6848988	Soil
SAMEA6848987	Soil
SAMEA6848986	Soil
SAMEA6848984	Soil
SAMEA6848983	Soil
SAMEA6848982	Soil
SAMEA6848981	Soil
SAMEA6848979	Soil
SAMEA6848978	Soil
SAMEA6848977	Soil
SAMEA6848976	Soil
SAMEA6848974	Soil
SAMEA6848973	Soil
SAMEA6848972	Soil
SAMEA6848971	Soil
SAMEA6848970	Soil
SAMEA6848969	Soil
SAMEA6848968	Soil
SAMEA6848967	Soil
SAMEA6848966	Soil
SAMEA6848965	Soil
SAMEA6848964	Soil
SAMEA6848963	Soil
SAMEA6848962	Soil
SAMEA6848961	Soil
SAMEA6848960	Soil
SAMEA6848959	Soil
SAMEA6848958	Soil
SAMEA6848957	Soil
SAMEA6848956	Soil
SAMEA6848955	Soil
SAMEA6848954	Soil
SAMEA6848953	Soil
SAMEA6848952	Soil
SAMEA6848950	Soil
SAMEA6848949	Soil
SAMEA6848948	Soil
SAMEA6848947	Soil
SAMEA6848946	Soil
SAMEA6848945	Soil
SAMEA6848944	Soil
SAMEA6848943	Soil
SAMEA6848942	Soil
SAMEA6848940	Soil
SAMEA6848939	Soil
SAMEA6848938	Soil
SAMEA6848936	Soil
SAMEA6848935	Soil
SAMEA6848934	Soil
SAMEA6848933	Soil
SAMEA6848932	Soil
SAMEA6848931	Soil
SAMEA6848929	Soil
SAMEA6848928	Soil
SAMEA6848927	Soil
SAMEA6848926	Soil
SAMEA6848925	Soil
SAMEA6848924	Soil
SAMEA6848922	Soil
SAMEA6848921	Soil
SAMEA6848920	Soil
SAMEA6848918	Soil
SAMEA6848917	Soil
SAMEA6848916	Soil
SAMEA6848914	Soil
SAMEA6848913	Soil
SAMEA6848912	Soil
SAMEA6848911	Soil
SAMEA6848909	Soil
SAMEA6848908	Soil
SAMEA6848907	Soil
SAMEA6848906	Soil
SAMEA6848904	Soil
SAMEA6848903	Soil
SAMEA6848902	Soil
SAMEA6848901	Soil
SAMEA6848899	Soil
SAMEA6848898	Soil
SAMEA6848897	Soil
SAMEA6848896	Soil
SAMEA6848895	Soil
SAMEA6848894	Soil
SAMEA6848893	Soil
SAMEA6848892	Soil
SAMEA6848891	Soil
SAMEA6848890	Soil
SAMEA6848889	Soil
SAMEA6848888	Soil
SAMEA6848887	Soil
SAMEA6848886	Soil
SAMEA6848885	Soil
SAMEA6848884	Soil
SAMEA6848883	Soil
SAMEA6848881	Soil
SAMEA6848880	Soil
SAMEA6848879	Soil
SAMEA6848877	Soil
SAMEA6848876	Soil
SAMEA6848875	Soil
SAMEA6848873	Soil
SAMEA6848872	Soil
SAMEA6848871	Soil
SAMEA6848870	Soil
SAMEA6848869	Soil
SAMEA6848868	Soil
SAMEA6848867	Soil
SAMEA6848866	Soil
SAMEA6848865	Soil
SAMEA6848864	Soil
SAMEA6848863	Soil
SAMEA6848862	Soil
SAMEA6848861	Soil
SAMEA6848860	Soil
SAMEA6848858	Soil
SAMEA6848857	Soil
SAMEA6848856	Soil
SAMEA6848855	Soil
SAMEA6848854	Soil
SAMEA6848853	Soil
SAMEA6848852	Soil
SAMEA6848851	Soil
SAMEA6848850	Soil
SAMEA6848849	Soil
SAMEA6848848	Soil
SAMEA6848847	Soil
SAMEA6848846	Soil
SAMEA6848844	Soil
SAMEA6848843	Soil
SAMEA6848842	Soil
SAMEA6848841	Soil
SAMEA6848840	Soil
SAMEA6848839	Soil
SAMEA6848838	Soil
SAMEA6848837	Soil
SAMEA6848836	Soil
SAMEA6848835	Soil
SAMEA6848834	Soil
SAMEA6848833	Soil
SAMEA6848832	Soil
SAMEA6848831	Soil
SAMEA6848830	Soil
SAMEA6848829	Soil
SAMEA6848828	Soil
SAMEA6848827	Soil
SAMEA6848826	Soil
SAMEA6848825	Soil
SAMEA6848824	Soil
SAMEA6848822	Soil
SAMEA6848821	Soil
SAMEA6848819	Soil
SAMEA6848818	Soil
SAMEA6848817	Soil
SAMEA6848815	Soil
SAMEA6848813	Soil
SAMEA6848812	Soil
SAMEA6848810	Soil
SAMEA6848808	Soil
SAMEA6848807	Soil
SAMEA6848806	Soil
SAMEA6848805	Soil
SAMEA6848804	Soil
SAMEA6848803	Soil
SAMEA6848802	Soil
SAMEA6848801	Soil
SAMEA6848800	Soil
SAMEA6848799	Soil
SAMEA6848798	Soil
SAMEA6848797	Soil
SAMEA6848796	Soil
SAMEA6848795	Soil
SAMEA6848794	Soil
SAMEA6848793	Soil
SAMEA6848792	Soil
SAMEA6848791	Soil
SAMEA6848790	Soil
SAMEA6848789	Soil
SAMEA6848788	Soil
SAMEA6848787	Soil
SAMEA6848786	Soil
SAMEA6848785	Soil
SAMEA6848784	Soil
SAMEA6848783	Soil
SAMEA6848782	Soil
SAMEA6848781	Soil
SAMEA6848780	Soil
SAMEA6848779	Soil
SAMEA6848778	Soil
SAMEA6848776	Soil
SAMEA6848775	Soil
SAMEA6848774	Soil
SAMEA6848773	Soil
SAMEA6848772	Soil
SAMEA6848771	Soil
SAMEA6848770	Soil
SAMEA6848769	Soil
SAMEA6848768	Soil
SAMN35017742	Soil
SAMN35017741	Soil
SAMN35017740	Soil
SAMN35017739	Soil
SAMN35017738	Soil
SAMN35017737	Soil
SAMN35017736	Soil
SAMN35017735	Soil
SAMN35017734	Soil
SAMN35017733	Soil
SAMN35017732	Soil
SAMN35017731	Soil
SAMN35017730	Soil
SAMN35017729	Soil
SAMN35017728	Soil
SAMN35017727	Soil
SAMN35017726	Soil
SAMN35017725	Soil
SAMN35017724	Soil
SAMN35017723	Soil
SAMN35017722	Soil
SAMN35017721	Soil
SAMN35017720	Soil
SAMN35017719	Soil
SAMN35017718	Soil
SAMN35017717	Soil
SAMN35017716	Soil
SAMN35017715	Soil
SAMN35017714	Soil
SAMN35017713	Soil
SAMN35017712	Soil
SAMN35017711	Soil
SAMN35017710	Soil
SAMN35017709	Soil
SAMN35017708	Soil
SAMN35017707	Soil
SAMEA5536602	Soil
SAMEA5536601	Soil
SAMEA5536600	Soil
SAMEA5536599	Soil
SAMEA5536598	Soil
SAMEA5536597	Soil
SAMEA5536596	Soil
SAMEA5536595	Soil
SAMEA5536594	Soil
SAMEA5536593	Soil
SAMEA5536592	Soil
SAMEA5536591	Soil
SAMEA5536590	Soil
SAMEA5536589	Soil
SAMEA5536588	Soil
SAMEA5536587	Soil
SAMEA5536586	Soil
SAMEA5536585	Soil
SAMEA5536584	Soil
SAMEA5536583	Soil
SAMEA5536582	Soil
SAMEA5536581	Soil
SAMEA5536580	Soil
SAMEA5536579	Soil
SAMEA5536578	Soil
SAMEA5536577	Soil
SAMEA5536576	Soil
SAMEA5536575	Soil
SAMEA5536574	Soil
SAMEA5536573	Soil
SAMEA5536572	Soil
SAMEA5536571	Soil
SAMEA5536570	Soil
SAMEA5536569	Soil
SAMEA5536568	Soil
SAMEA5536567	Soil
SAMEA5536566	Soil
SAMEA5536565	Soil
SAMEA5536564	Soil
SAMEA5536563	Soil
SAMEA5536562	Soil
SAMEA5536561	Soil
SAMEA5536560	Soil
SAMEA5536559	Soil
SAMEA5536558	Soil
SAMEA5536557	Soil
SAMEA5536556	Soil
SAMEA5536555	Soil
SAMEA5536554	Soil
SAMEA5536553	Soil
SAMEA5536552	Soil
SAMEA5536551	Soil
SAMEA5536550	Soil
SAMEA5536549	Soil
SAMEA5536548	Soil
SAMEA5536547	Soil
SAMEA5536546	Soil
SAMEA5536545	Soil
SAMEA5536544	Soil
SAMEA5536543	Soil
SAMEA5536542	Soil
SAMEA5536541	Soil
SAMEA5536540	Soil
SAMEA5536539	Soil
SAMEA5536538	Soil
SAMEA5536537	Soil
SAMEA5536536	Soil
SAMEA5536535	Soil
SAMEA5536534	Soil
SAMEA5536533	Soil
SAMEA5536532	Soil
SAMEA5536531	Soil
SAMEA5536530	Soil
SAMEA5536529	Soil
SAMEA5536528	Soil
SAMEA5536527	Soil
SAMEA5536526	Soil
SAMEA5536525	Soil
SAMEA5536524	Soil
SAMEA5536523	Soil
SAMEA5536522	Soil
SAMEA5536521	Soil
SAMEA5536520	Soil
SAMEA5536519	Soil
SAMEA5536518	Soil
SAMEA5536517	Soil
SAMEA5536516	Soil
SAMEA5536515	Soil
SAMEA5536514	Soil
SAMEA5536513	Soil
SAMEA5536512	Soil
SAMEA5536511	Soil
SAMEA5536510	Soil
SAMEA5536509	Soil
SAMEA5536508	Soil
SAMEA5536507	Soil
SAMEA5536506	Soil
SAMEA5536505	Soil
SAMEA5536504	Soil
SAMEA5536503	Soil
SAMEA5536502	Soil
SAMEA5536501	Soil
SAMEA5536500	Soil
SAMEA5536499	Soil
SAMEA5536498	Soil
SAMEA5536497	Soil
SAMEA5536496	Soil
SAMEA5536495	Soil
SAMEA5536494	Soil
SAMEA5536493	Soil
SAMEA5536492	Soil
SAMEA5536491	Soil
SAMEA5536490	Soil
SAMEA5536489	Soil
SAMEA5536488	Soil
SAMEA5536487	Soil
SAMEA5536486	Soil
SAMEA5536485	Soil
SAMEA5536484	Soil
SAMEA5536483	Soil
SAMEA5536482	Soil
SAMEA5536481	Soil
SAMEA5536480	Soil
SAMEA5536479	Soil
SAMEA5536478	Soil
SAMEA5536477	Soil
SAMEA5536476	Soil
SAMEA5536475	Soil
SAMEA5536474	Soil
SAMEA5536473	Soil
SAMEA5536472	Soil
SAMEA5536471	Soil
SAMEA5536470	Soil
SAMEA5536469	Soil
SAMEA5536468	Soil
SAMEA5536467	Soil
SAMEA5536466	Soil
SAMEA5536465	Soil
SAMEA5536464	Soil
SAMEA5536463	Soil
SAMEA5536462	Soil
SAMEA5536461	Soil
SAMEA5536460	Soil
SAMEA5536459	Soil
SAMEA5536458	Soil
SAMEA5536457	Soil
SAMEA5536456	Soil
SAMEA5536455	Soil
SAMEA5536454	Soil
SAMEA5536453	Soil
SAMEA5536452	Soil
SAMEA5536451	Soil
SAMEA5536450	Soil
SAMEA5536449	Soil
SAMEA5536448	Soil
SAMEA5536447	Soil
SAMEA5536446	Soil
SAMEA5536445	Soil
SAMEA5536444	Soil
SAMEA5536443	Soil
SAMEA5536442	Soil
SAMEA5536441	Soil
SAMEA5536440	Soil
SAMEA5536439	Soil
SAMEA5536438	Soil
SAMEA5536437	Soil
SAMEA5536436	Soil
SAMEA5536435	Soil
SAMEA5536434	Soil
SAMEA5536433	Soil
SAMEA5536432	Soil
SAMEA5536431	Soil
SAMEA5536430	Soil
SAMEA5536429	Soil
SAMEA5536428	Soil
SAMEA5536427	Soil
SAMEA5536426	Soil
SAMEA5536425	Soil
SAMEA5536424	Soil
SAMEA5536423	Soil
SAMEA5536422	Soil
SAMEA5536421	Soil
SAMEA5536420	Soil
SAMEA5536419	Soil
SAMEA5536418	Soil
SAMEA5536417	Soil
SAMEA5536416	Soil
SAMEA5536415	Soil
SAMEA5536414	Soil
SAMEA5536413	Soil
SAMEA5536412	Soil
SAMEA5536411	Soil
SAMEA5536410	Soil
SAMEA5536409	Soil
SAMEA5536408	Soil
SAMEA5536407	Soil
SAMEA5536406	Soil
SAMEA5536405	Soil
SAMEA5536404	Soil
SAMEA5536403	Soil
SAMEA5536402	Soil
SAMEA5536401	Soil
SAMEA5536400	Soil
SAMEA5536399	Soil
SAMEA5536398	Soil
SAMEA5536397	Soil
SAMEA5536396	Soil
SAMEA5536395	Soil
SAMEA5536394	Soil
SAMEA5536393	Soil
SAMEA5536392	Soil
SAMEA5536391	Soil
SAMEA5536390	Soil
SAMEA5536389	Soil
SAMEA5536388	Soil
SAMEA5536387	Soil
SAMEA5536386	Soil
SAMEA5536385	Soil
SAMEA5536384	Soil
SAMEA5536383	Soil
SAMEA5536382	Soil
SAMEA5536381	Soil
SAMEA5536380	Soil
SAMEA5536379	Soil
SAMEA5536378	Soil
SAMEA5536377	Soil
SAMEA5536376	Soil
SAMEA5536375	Soil
SAMEA5536374	Soil
SAMEA5536373	Soil
SAMEA5536372	Soil
SAMEA5536371	Soil
SAMEA5536370	Soil
SAMEA5536369	Soil
SAMEA5536368	Soil
SAMEA5536367	Soil
SAMEA5536366	Soil
SAMEA5536365	Soil
SAMEA5536364	Soil
SAMEA5536363	Soil
SAMEA5536362	Soil
SAMEA5536361	Soil
SAMEA5536360	Soil
SAMEA5536359	Soil
SAMEA5536358	Soil
SAMEA5536357	Soil
SAMEA5536356	Soil
SAMEA5536355	Soil
SAMEA5536354	Soil
SAMEA5536353	Soil
SAMEA5536352	Soil
SAMEA5536351	Soil
SAMEA5536350	Soil
SAMEA5536349	Soil
SAMEA5536348	Soil
SAMEA5536347	Soil
SAMEA5536346	Soil
SAMEA5536345	Soil
SAMEA5536344	Soil
SAMEA5536343	Soil
SAMEA5536342	Soil
SAMEA5536341	Soil
SAMEA5536340	Soil
SAMEA5536339	Soil
SAMEA5536338	Soil
SAMEA5536337	Soil
SAMEA5536336	Soil
SAMEA5536335	Soil
SAMEA5536334	Soil
SAMEA5536333	Soil
SAMEA5536332	Soil
SAMEA5536331	Soil
SAMEA5536330	Soil
SAMEA5536329	Soil
SAMEA5536328	Soil
SAMEA5536327	Soil
SAMEA5536326	Soil
SAMEA5536325	Soil
SAMEA5536324	Soil
SAMEA5536323	Soil
SAMEA5536322	Soil
SAMEA5536321	Soil
SAMEA5536320	Soil
SAMEA5536319	Soil
SAMEA5536318	Soil
SAMEA5536317	Soil
SAMEA5536316	Soil
SAMEA5536315	Soil
SAMEA5536314	Soil
SAMEA5536313	Soil
SAMEA5536312	Soil
SAMEA5536311	Soil
SAMEA5536310	Soil
SAMEA5536309	Soil
SAMEA5536308	Soil
SAMEA5536307	Soil
SAMEA5536306	Soil
SAMEA5536305	Soil
SAMEA5536304	Soil
SAMEA5536303	Soil
SAMEA5536302	Soil
SAMEA5536301	Soil
SAMEA5536300	Soil
SAMEA5536299	Soil
SAMEA5536298	Soil
SAMEA5536297	Soil
SAMEA5536296	Soil
SAMEA5536295	Soil
SAMEA5536294	Soil
SAMEA5536293	Soil
SAMEA5536292	Soil
SAMEA5536291	Soil
SAMEA5536290	Soil
SAMEA5536289	Soil
SAMEA5536288	Soil
SAMEA5536287	Soil
SAMEA5536286	Soil
SAMEA5536285	Soil
SAMEA5536284	Soil
SAMEA5536283	Soil
SAMEA5536282	Soil
SAMEA5536281	Soil
SAMEA5536280	Soil
SAMEA5536279	Soil
SAMEA5536278	Soil
SAMEA5536277	Soil
SAMEA5536276	Soil
SAMEA5536275	Soil
SAMEA5536274	Soil
SAMEA5536273	Soil
SAMEA5536272	Soil
SAMEA5536271	Soil
SAMEA5536270	Soil
SAMEA5536269	Soil
SAMEA5536268	Soil
SAMEA5536267	Soil
SAMEA5536266	Soil
SAMEA5536265	Soil
SAMEA5536264	Soil
SAMEA5536263	Soil
SAMEA5536262	Soil
SAMEA5536261	Soil
SAMEA5536260	Soil
SAMEA5536259	Soil
SAMEA5536258	Soil
SAMEA5536257	Soil
SAMEA5536256	Soil
SAMEA5536255	Soil
SAMEA5536254	Soil
SAMEA5536253	Soil
SAMEA5536252	Soil
SAMEA5536251	Soil
SAMEA5536250	Soil
SAMEA5536249	Soil
SAMEA5536248	Soil
SAMEA5536247	Soil
SAMEA5536246	Soil
SAMEA5536245	Soil
SAMEA5536244	Soil
SAMEA5536243	Soil
SAMEA5536242	Soil
SAMEA5536241	Soil
SAMEA5536240	Soil
SAMEA5536239	Soil
SAMEA5536238	Soil
SAMEA5536237	Soil
SAMEA5536236	Soil
SAMEA5536235	Soil
SAMEA5536234	Soil
SAMEA5536233	Soil
SAMEA5536232	Soil
SAMEA5536231	Soil
SAMEA5536230	Soil
SAMEA5536229	Soil
SAMEA5536228	Soil
SAMEA5536227	Soil
SAMEA5536226	Soil
SAMEA5536225	Soil
SAMEA5536224	Soil
SAMEA5536223	Soil
SAMEA5536222	Soil
SAMEA5536221	Soil
SAMEA5536220	Soil
SAMEA5536219	Soil
SAMEA5536218	Soil
SAMEA5536217	Soil
SAMEA5536216	Soil
SAMEA5536215	Soil
SAMEA5536214	Soil
SAMEA5536213	Soil
SAMEA5536212	Soil
SAMEA5536211	Soil
SAMEA5536210	Soil
SAMEA5536209	Soil
SAMEA5536208	Soil
SAMEA5536207	Soil
SAMEA5536206	Soil
SAMEA5536205	Soil
SAMEA5536204	Soil
SAMEA5536203	Soil
SAMEA5536202	Soil
SAMEA5536201	Soil
SAMEA5536200	Soil
SAMEA5536199	Soil
SAMEA5536198	Soil
SAMEA5536197	Soil
SAMEA5536196	Soil
SAMEA5536195	Soil
SAMEA5536194	Soil
SAMEA5536193	Soil
SAMEA5536192	Soil
SAMEA5536191	Soil
SAMEA5536190	Soil
SAMEA5536189	Soil
SAMEA5536188	Soil
SAMEA5536187	Soil
SAMEA5536186	Soil
SAMEA5536185	Soil
SAMEA5536184	Soil
SAMEA5536183	Soil
SAMEA5536182	Soil
SAMEA5536181	Soil
SAMEA5536180	Soil
SAMEA5536179	Soil
SAMEA5536178	Soil
SAMEA5536177	Soil
SAMEA5536176	Soil
SAMEA5536175	Soil
SAMEA5536174	Soil
SAMEA5536173	Soil
SAMEA5536172	Soil
SAMEA5536171	Soil
SAMEA5536170	Soil
SAMEA5536169	Soil
SAMEA5536167	Soil
SAMEA5536166	Soil
SAMEA5536165	Soil
SAMEA5536164	Soil
SAMEA5536163	Soil
SAMEA5536162	Soil
SAMEA5536161	Soil
SAMEA5536160	Soil
SAMEA5536159	Soil
SAMEA5536158	Soil
SAMEA5536157	Soil
SAMEA5536156	Soil
SAMEA5536155	Soil
SAMEA5536154	Soil
SAMEA5536153	Soil
SAMEA5536152	Soil
SAMEA5536151	Soil
SAMEA5536150	Soil
SAMEA5536149	Soil
SAMEA5536148	Soil
SAMEA5536147	Soil
SAMEA5536146	Soil
SAMEA5536145	Soil
SAMEA5536144	Soil
SAMEA5536143	Soil
SAMEA5536142	Soil
SAMEA5536141	Soil
SAMEA5536140	Soil
SAMEA5536139	Soil
SAMEA5536138	Soil
SAMEA5536137	Soil
SAMEA5536136	Soil
SAMEA5536135	Soil
SAMEA5536134	Soil
SAMEA5536133	Soil
SAMEA5536132	Soil
SAMEA5536131	Soil
SAMEA5536130	Soil
SAMEA5536129	Soil
SAMEA5536128	Soil
SAMEA5536127	Soil
SAMEA5536126	Soil
SAMEA5536125	Soil
SAMEA5536124	Soil
SAMEA5536123	Soil
SAMEA5536122	Soil
SAMEA5536121	Soil
SAMEA5536120	Soil
SAMEA5536119	Soil
SAMEA5536118	Soil
SAMEA5536117	Soil
SAMEA5536116	Soil
SAMEA5536115	Soil
SAMEA5536114	Soil
SAMEA5536113	Soil
SAMEA5536112	Soil
SAMEA5536111	Soil
SAMEA5536110	Soil
SAMEA5536109	Soil
SAMEA5536108	Soil
SAMEA5536107	Soil
SAMEA5536106	Soil
SAMEA5536105	Soil
SAMEA5536104	Soil
SAMEA5536103	Soil
SAMEA5536102	Soil
SAMEA5536101	Soil
SAMEA5536100	Soil
SAMEA5536099	Soil
SAMEA5536098	Soil
SAMEA5536097	Soil
SAMEA5536096	Soil
SAMEA5536095	Soil
SAMEA5536094	Soil
SAMEA5536093	Soil
SAMEA5536092	Soil
SAMEA5536091	Soil
SAMEA5536090	Soil
SAMEA5536089	Soil
SAMEA5536088	Soil
SAMEA5536087	Soil
SAMEA5536086	Soil
SAMEA5536085	Soil
SAMEA5536084	Soil
SAMEA5536083	Soil
SAMEA5536082	Soil
SAMEA5536081	Soil
SAMEA5536080	Soil
SAMEA5536079	Soil
SAMEA5536078	Soil
SAMEA5536077	Soil
SAMEA5536076	Soil
SAMEA5536075	Soil
SAMEA5536074	Soil
SAMEA5536073	Soil
SAMEA5536072	Soil
SAMEA5536071	Soil
SAMEA5536070	Soil
