BioSample	Environmental_Category
SAMD00197446	Marine Environment
SAMD00197445	Marine Environment
SAMD00197444	Marine Environment
SAMD00197443	Marine Environment
SAMD00197442	Marine Environment
SAMD00197441	Marine Environment
SAMD00197440	Marine Environment
SAMD00209725	Soil
SAMD00201276	Soil
SAMD00192873	Marine Environment
SAMD00192872	Marine Environment
SAMD00192871	Marine Environment
SAMD00192870	Marine Environment
SAMD00192869	Marine Environment
SAMD00192868	Marine Environment
SAMD00192867	Marine Environment
SAMD00192866	Marine Environment
SAMD00192865	Marine Environment
SAMD00192864	Marine Environment
SAMD00192863	Marine Environment
SAMD00192862	Marine Environment
SAMD00192861	Marine Environment
SAMD00192860	Marine Environment
SAMD00192859	Marine Environment
SAMD00192858	Marine Environment
SAMD00192857	Marine Environment
SAMD00192856	Marine Environment
SAMD00192855	Marine Environment
SAMD00043904	Rhizosphere
SAMD00034850	Freshwater
SAMD00034849	Soil
SAMD00034848	Freshwater
SAMD00034847	Soil
SAMD00034846	Soil
SAMD00031641	Marine Environment
SAMD00031640	Marine Environment
SAMD00031639	Marine Environment
SAMD00031638	Marine Environment
SAMD00031637	Marine Environment
SAMD00031636	Marine Environment
SAMD00031635	Marine Environment
SAMD00031634	Marine Environment
SAMD00031633	Marine Environment
SAMD00031632	Marine Environment
SAMD00031631	Marine Environment
SAMD00031630	Marine Environment
SAMD00031627	Marine Environment
SAMD00031626	Marine Environment
SAMD00031625	Marine Environment
SAMD00031624	Marine Environment
SAMD00031623	Marine Environment
SAMD00031622	Marine Environment
SAMD00031621	Marine Environment
SAMD00031620	Marine Environment
SAMD00031619	Marine Environment
SAMD00031618	Marine Environment
SAMD00031617	Marine Environment
SAMD00031616	Marine Environment
SAMD00031540	Soil
SAMD00031539	Soil
SAMD00031538	Soil
SAMD00031537	Soil
SAMD00031536	Soil
SAMD00031535	Soil
SAMD00031534	Soil
SAMD00031533	Soil
SAMD00031532	Soil
SAMD00031531	Soil
SAMD00031530	Soil
SAMD00031529	Soil
SAMD00031528	Soil
SAMD00031527	Soil
SAMD00031526	Soil
SAMD00031525	Soil
SAMD00031524	Soil
SAMD00031523	Soil
SAMD00031522	Soil
SAMD00031521	Soil
SAMD00031520	Soil
SAMD00031519	Soil
SAMD00031518	Soil
SAMD00031517	Soil
SAMD00490275	Air
SAMD00490274	Air
SAMD00490273	Air
SAMD00490272	Air
SAMD00490271	Air
SAMD00490270	Air
SAMD00490269	Air
SAMD00490268	Air
SAMD00490267	Air
SAMD00490266	Air
SAMD00658774	Freshwater
SAMD00521277	Marine Environment
SAMD00521276	Marine Environment
SAMD00521275	Marine Environment
SAMD00521226	Marine Environment
SAMD00521225	Marine Environment
SAMD00521224	Marine Environment
SAMD00521223	Marine Environment
SAMD00521222	Marine Environment
SAMD00521221	Marine Environment
SAMD00521220	Marine Environment
SAMD00521219	Marine Environment
SAMD00521218	Marine Environment
SAMD00521217	Marine Environment
